USD_Rate,Diesel_Price_Rs,Petrol_Price_Rs,Lorry_Quota_L,Bike_Quota_L,Rice_Price_Rs,Bread_Price_Rs,Power_Cut_Hours,Economic_Status,Power_Cut_Warning
316.2,394.1,401.26,159.0,6.0,236.74,134.11,0,Normal,0
324.33,409.82,422.34,163.0,7.0,244.45,137.31,4,Moderate_Stress,1
315.82,378.6,392.56,200.0,8.0,220.86,133.7,0,Normal,0
311.52,389.03,402.41,157.0,5.0,231.26,137.05,0,Normal,0
308.73,374.66,391.42,200.0,8.0,222.46,127.52,0,Normal,0
300.0,363.27,375.16,200.0,8.0,224.94,126.47,0,Normal,0
302.45,376.66,398.26,190.0,8.0,231.33,126.6,0,Normal,0
306.34,378.81,394.82,200.0,8.0,217.13,128.65,0,Normal,0
329.11,382.71,398.66,158.0,8.0,233.31,137.05,0,Normal,0
318.4,400.93,415.29,162.0,6.0,243.27,128.63,0,Moderate_Stress,0
300.0,378.8,395.58,200.0,8.0,225.3,125.11,0,Normal,0
318.11,379.57,399.7,193.0,7.0,233.77,134.62,0,Normal,0
307.47,377.55,389.22,196.0,8.0,229.04,131.75,0,Normal,0
303.1,373.5,386.21,199.0,8.0,226.7,126.54,0,Normal,0
322.43,393.4,407.88,156.0,7.0,234.47,135.08,0,Normal,0
328.71,392.52,401.79,169.0,5.0,230.69,134.4,0,Normal,0
327.22,389.59,401.49,156.0,7.0,229.84,137.35,0,Normal,0
300.66,365.51,379.12,197.0,8.0,225.26,126.69,0,Normal,0
308.61,386.63,407.0,161.0,7.0,230.79,132.84,0,Normal,0
318.22,391.39,408.7,154.0,7.0,233.59,139.61,0,Normal,0
327.88,393.36,410.33,158.0,6.0,234.78,135.13,0,Normal,0
306.06,379.69,399.94,200.0,8.0,226.23,128.84,0,Normal,0
310.47,348.55,363.86,198.0,8.0,222.97,128.4,0,Normal,0
300.0,376.49,394.44,200.0,7.0,223.74,126.37,0,Normal,0
300.0,347.6,363.09,197.0,8.0,208.61,131.74,0,Normal,0
325.44,390.63,407.96,152.0,5.0,239.18,133.23,0,Normal,0
333.59,392.44,405.52,162.0,6.0,236.7,133.28,0,Moderate_Stress,0
312.17,366.05,369.85,200.0,8.0,224.36,125.74,0,Normal,0
328.3,409.16,424.49,160.0,7.0,250.55,138.27,1,Severe_Crisis,1
318.67,381.8,404.91,161.0,5.0,230.91,133.4,0,Normal,0
303.57,372.57,393.21,200.0,8.0,226.21,126.11,0,Normal,0
318.67,386.0,406.83,154.0,7.0,226.59,132.94,0,Normal,0
336.32,411.54,433.72,169.0,6.0,243.85,131.89,3,Moderate_Stress,1
312.71,380.39,396.83,161.0,5.0,232.38,130.31,0,Normal,0
336.72,394.4,411.38,168.0,6.0,231.26,136.12,1,Moderate_Stress,1
300.0,374.96,387.87,196.0,8.0,225.89,132.43,0,Normal,0
325.58,389.48,403.9,169.0,7.0,235.59,130.28,0,Normal,0
314.56,366.17,385.25,200.0,8.0,224.93,124.78,0,Normal,0
308.76,370.8,392.82,200.0,6.0,230.37,125.52,0,Normal,0
314.63,396.83,412.13,161.0,6.0,237.14,127.68,0,Normal,0
300.0,373.5,387.25,199.0,8.0,231.77,131.17,0,Normal,0
309.95,372.96,388.96,200.0,8.0,221.21,133.25,0,Normal,0
318.61,382.91,401.91,161.0,6.0,232.07,131.85,0,Normal,0
335.42,402.51,411.3,150.0,8.0,242.04,139.04,2,Moderate_Stress,1
305.48,392.06,396.58,154.0,4.0,226.62,130.24,0,Normal,0
301.12,370.11,383.36,199.0,8.0,228.19,126.71,0,Normal,0
305.72,375.88,385.78,200.0,8.0,237.98,127.26,0,Normal,0
326.98,406.33,419.79,160.0,7.0,241.18,133.56,1,Moderate_Stress,1
318.18,388.3,403.56,166.0,6.0,235.72,126.73,0,Normal,0
305.3,368.51,382.24,190.0,8.0,224.11,128.25,0,Normal,0
320.95,387.13,410.39,161.0,6.0,229.77,131.55,0,Normal,0
314.71,381.2,398.83,151.0,5.0,220.91,132.37,0,Normal,0
327.78,396.57,414.08,164.0,8.0,234.48,133.92,0,Normal,0
302.72,375.4,394.51,200.0,8.0,218.63,127.27,0,Normal,0
308.34,375.1,385.41,200.0,8.0,235.12,125.96,0,Normal,0
307.37,380.8,402.0,156.0,8.0,227.83,129.21,0,Normal,0
300.0,364.19,379.81,200.0,7.0,219.39,128.45,0,Normal,0
317.69,386.13,405.48,165.0,7.0,236.78,127.65,0,Normal,0
317.17,364.76,375.4,200.0,7.0,219.14,129.13,0,Normal,0
313.33,389.49,397.72,159.0,6.0,228.8,131.46,0,Normal,0
309.73,379.66,399.75,200.0,8.0,228.82,127.08,0,Normal,0
300.0,374.98,392.86,196.0,6.0,230.04,125.55,0,Normal,0
306.94,344.02,355.51,200.0,7.0,217.95,125.95,0,Normal,0
308.11,395.21,406.86,168.0,8.0,234.84,127.15,0,Normal,0
301.22,365.0,386.63,200.0,8.0,222.03,127.54,0,Normal,0
310.83,388.54,398.59,156.0,6.0,233.81,127.6,0,Normal,0
319.31,376.81,401.02,200.0,8.0,230.4,133.58,0,Normal,0
341.54,418.9,430.4,154.0,6.0,243.42,144.95,3,Moderate_Stress,1
315.87,372.71,391.91,200.0,8.0,227.5,126.88,0,Normal,0
317.11,378.44,392.8,200.0,8.0,224.16,131.83,0,Normal,0
312.13,398.09,417.11,151.0,7.0,235.81,129.26,0,Normal,0
300.0,363.09,376.37,194.0,8.0,218.33,129.24,0,Normal,0
312.85,381.95,397.14,159.0,6.0,242.6,126.14,0,Normal,0
314.15,389.98,406.18,158.0,8.0,232.77,132.37,0,Normal,0
350.2,427.69,438.67,94.0,2.0,246.36,137.49,2,Moderate_Stress,1
310.36,378.42,398.13,200.0,8.0,227.5,128.59,0,Normal,0
317.77,389.09,402.52,161.0,6.0,235.98,128.29,0,Normal,0
312.73,403.67,418.53,159.0,6.0,245.85,134.56,0,Moderate_Stress,0
300.0,364.42,375.45,196.0,6.0,218.25,123.74,0,Normal,0
330.39,401.96,405.15,165.0,6.0,232.5,136.22,3,Moderate_Stress,1
324.53,403.71,418.76,168.0,5.0,243.94,132.83,0,Moderate_Stress,0
325.12,404.94,433.0,158.0,6.0,233.5,133.73,1,Moderate_Stress,1
300.0,376.87,396.79,197.0,8.0,223.37,127.94,0,Normal,0
334.29,410.82,426.73,162.0,7.0,243.01,133.75,4,Moderate_Stress,1
300.0,353.57,368.26,198.0,8.0,217.05,125.8,0,Normal,0
322.05,406.7,422.81,159.0,7.0,243.85,138.38,0,Moderate_Stress,0
346.11,406.56,425.3,164.0,5.0,241.75,135.05,2,Moderate_Stress,1
300.0,368.03,378.12,190.0,7.0,221.09,130.13,0,Normal,0
304.76,362.93,384.5,200.0,8.0,221.55,131.31,0,Normal,0
314.74,381.32,400.89,160.0,6.0,230.81,127.71,0,Normal,0
305.7,374.84,394.43,198.0,8.0,226.47,123.79,0,Normal,0
300.0,368.21,386.41,200.0,8.0,224.7,127.54,0,Normal,0
314.28,385.64,401.74,160.0,6.0,235.7,128.88,0,Normal,0
300.0,381.14,400.5,151.0,7.0,229.01,133.53,0,Normal,0
320.35,392.94,411.9,167.0,8.0,237.52,132.26,0,Normal,0
300.0,362.56,376.79,200.0,8.0,212.63,123.66,0,Normal,0
336.5,416.61,429.75,162.0,6.0,247.02,133.51,3,Moderate_Stress,1
301.5,378.62,395.13,200.0,8.0,228.87,131.17,0,Normal,0
308.42,362.41,386.15,195.0,8.0,225.82,125.6,0,Normal,0
325.45,400.24,410.05,162.0,7.0,235.36,133.79,0,Moderate_Stress,0
300.0,372.01,380.67,199.0,8.0,220.56,129.88,0,Normal,0
316.66,381.19,398.01,164.0,7.0,227.53,128.98,0,Normal,0
332.86,416.54,432.8,149.0,8.0,248.69,136.26,1,Moderate_Stress,1
300.0,363.5,380.37,200.0,8.0,226.04,126.11,0,Normal,0
316.02,384.68,401.9,157.0,7.0,229.45,132.73,0,Normal,0
317.15,382.99,397.87,162.0,5.0,235.67,132.46,0,Normal,0
324.98,393.88,417.33,162.0,4.0,237.12,132.29,0,Normal,0
300.0,354.04,362.03,196.0,8.0,216.94,125.41,0,Normal,0
300.0,350.6,362.46,196.0,8.0,215.3,123.76,0,Normal,0
321.08,405.19,420.67,159.0,6.0,243.41,129.06,0,Moderate_Stress,0
317.7,376.89,384.67,196.0,8.0,230.73,130.93,0,Normal,0
317.01,374.64,389.77,200.0,8.0,239.56,135.5,0,Normal,0
318.45,364.68,388.99,198.0,8.0,220.72,126.4,0,Normal,0
303.05,362.12,378.22,185.0,8.0,223.59,124.16,0,Normal,0
316.73,371.01,388.17,198.0,7.0,224.21,126.81,0,Normal,0
317.65,401.71,411.41,155.0,7.0,233.43,134.8,0,Moderate_Stress,0
302.53,378.01,390.93,192.0,8.0,226.41,129.34,0,Normal,0
341.24,405.54,419.66,154.0,7.0,244.52,136.08,1,Moderate_Stress,1
320.36,410.94,425.35,161.0,6.0,256.14,131.21,2,Severe_Crisis,1
300.0,374.82,397.23,200.0,7.0,223.92,127.57,0,Normal,0
323.1,388.31,407.1,162.0,6.0,228.53,127.41,0,Normal,0
300.0,340.01,350.45,197.0,8.0,214.02,124.24,0,Normal,0
325.06,416.72,433.96,162.0,7.0,234.14,137.86,1,Moderate_Stress,1
330.63,386.33,404.82,158.0,6.0,234.53,129.29,0,Moderate_Stress,0
300.94,349.63,371.33,197.0,6.0,216.29,120.32,0,Normal,0
327.7,407.08,430.98,154.0,6.0,245.64,139.41,4,Moderate_Stress,1
319.44,411.76,422.68,151.0,7.0,246.52,132.07,4,Moderate_Stress,1
325.58,408.26,420.21,158.0,6.0,239.14,137.88,2,Moderate_Stress,1
341.7,418.6,428.31,161.0,6.0,247.75,137.47,1,Moderate_Stress,1
309.57,381.95,396.78,160.0,7.0,225.42,128.96,0,Normal,0
301.94,375.77,394.1,198.0,7.0,219.92,129.0,0,Normal,0
300.0,372.59,393.53,195.0,6.0,225.61,124.42,0,Normal,0
301.01,368.98,384.6,200.0,8.0,216.63,127.26,0,Normal,0
312.09,379.95,394.35,193.0,8.0,226.98,128.48,0,Normal,0
318.37,385.5,402.26,164.0,5.0,227.27,127.16,0,Normal,0
317.4,377.47,389.3,195.0,8.0,231.99,131.18,0,Normal,0
325.66,391.7,418.15,156.0,7.0,244.88,132.04,0,Normal,0
313.45,363.53,371.49,193.0,8.0,217.07,127.71,0,Normal,0
335.05,404.33,421.25,157.0,7.0,232.91,131.87,2,Moderate_Stress,1
309.28,365.79,391.9,200.0,8.0,222.91,132.56,0,Normal,0
354.05,416.12,432.16,163.0,6.0,250.18,142.16,3,Severe_Crisis,1
322.64,392.83,407.88,165.0,7.0,236.76,135.38,0,Normal,0
300.39,379.37,393.58,200.0,7.0,224.28,126.89,0,Normal,0
300.0,374.18,389.28,194.0,7.0,223.61,122.04,0,Normal,0
320.49,372.86,395.72,198.0,7.0,230.08,136.03,0,Normal,0
309.9,366.49,371.43,196.0,8.0,229.1,127.76,0,Normal,0
323.96,401.96,425.63,167.0,7.0,229.35,131.36,0,Moderate_Stress,0
320.35,378.58,387.46,194.0,8.0,228.38,131.97,0,Normal,0
312.16,376.73,391.4,200.0,7.0,229.01,132.81,0,Normal,0
300.55,371.13,384.98,200.0,8.0,219.07,126.94,0,Normal,0
300.0,355.32,374.26,200.0,8.0,226.67,129.18,0,Normal,0
306.55,373.59,381.6,198.0,8.0,222.54,131.4,0,Normal,0
326.1,381.67,399.98,164.0,7.0,232.25,128.66,0,Normal,0
316.46,377.92,404.04,200.0,8.0,231.99,128.05,0,Normal,0
300.0,368.2,377.38,197.0,6.0,219.56,129.5,0,Normal,0
315.85,367.29,384.24,192.0,6.0,216.14,120.78,0,Normal,0
319.03,391.29,403.98,151.0,6.0,232.26,131.35,0,Normal,0
300.0,364.8,382.93,200.0,8.0,226.48,122.0,0,Normal,0
315.56,388.41,404.51,151.0,5.0,231.02,129.56,0,Normal,0
314.12,383.48,396.27,158.0,3.0,226.46,129.38,0,Normal,0
300.0,378.64,397.08,200.0,8.0,230.8,126.6,0,Normal,0
318.62,387.66,412.68,161.0,7.0,231.4,129.71,0,Normal,0
321.66,385.62,400.66,162.0,5.0,230.4,128.33,0,Normal,0
329.5,400.14,419.74,161.0,5.0,240.35,141.13,0,Moderate_Stress,0
329.06,403.85,413.38,166.0,5.0,244.66,140.16,1,Moderate_Stress,1
300.0,365.49,376.71,195.0,8.0,233.48,122.88,0,Normal,0
300.0,365.41,383.77,197.0,7.0,225.68,131.1,0,Normal,0
320.98,382.1,405.52,156.0,7.0,237.38,129.97,0,Normal,0
320.96,382.47,400.25,164.0,4.0,229.18,131.59,0,Normal,0
320.98,375.1,389.53,200.0,7.0,224.0,130.28,0,Normal,0
371.04,464.19,480.19,102.0,3.0,270.64,144.91,4,Severe_Crisis,1
321.81,377.65,387.39,200.0,8.0,230.72,133.8,0,Normal,0
330.28,392.9,411.92,154.0,6.0,231.83,134.02,0,Moderate_Stress,0
327.56,389.51,409.92,168.0,7.0,234.61,131.47,0,Normal,0
323.02,400.42,414.16,168.0,5.0,240.4,129.39,0,Moderate_Stress,0
308.52,371.85,385.5,200.0,8.0,227.3,125.59,0,Normal,0
324.63,405.81,423.14,169.0,7.0,243.13,129.16,4,Moderate_Stress,1
301.66,360.17,373.99,192.0,8.0,221.5,126.11,0,Normal,0
309.7,378.94,394.61,197.0,8.0,225.68,125.57,0,Normal,0
305.97,363.51,390.01,196.0,8.0,219.5,126.26,0,Normal,0
314.48,403.1,417.87,164.0,5.0,231.64,136.4,0,Moderate_Stress,0
347.97,408.29,422.5,155.0,4.0,255.07,141.43,2,Severe_Crisis,1
300.0,368.1,380.86,200.0,8.0,222.55,126.53,0,Normal,0
323.54,398.41,418.13,167.0,6.0,236.68,132.92,0,Normal,0
300.0,369.14,384.23,200.0,8.0,218.2,132.37,0,Normal,0
306.17,370.24,383.0,200.0,7.0,239.15,129.32,0,Normal,0
329.58,397.72,420.33,155.0,7.0,233.4,133.04,0,Normal,0
314.21,381.78,404.88,156.0,8.0,227.97,125.85,0,Normal,0
300.0,363.53,376.53,200.0,8.0,222.96,127.35,0,Normal,0
302.52,377.54,384.2,200.0,8.0,229.29,130.43,0,Normal,0
323.44,414.07,435.1,160.0,6.0,248.05,132.84,1,Moderate_Stress,1
302.29,362.06,374.64,198.0,6.0,229.87,127.24,0,Normal,0
316.5,370.27,390.23,190.0,8.0,229.08,128.22,0,Normal,0
313.93,380.14,386.29,155.0,6.0,224.21,129.36,0,Normal,0
303.48,394.79,415.26,170.0,7.0,231.24,122.35,0,Normal,0
345.41,409.18,419.13,154.0,5.0,247.49,136.88,2,Moderate_Stress,1
322.76,407.56,427.22,161.0,5.0,251.19,136.89,1,Severe_Crisis,1
300.0,381.78,397.85,165.0,8.0,220.28,126.1,0,Normal,0
316.05,377.92,389.15,194.0,8.0,235.14,130.17,0,Normal,0
303.32,374.51,388.48,200.0,8.0,226.29,125.49,0,Normal,0
326.04,411.23,430.66,165.0,6.0,246.98,135.92,1,Moderate_Stress,1
301.36,362.78,379.3,200.0,6.0,220.38,125.64,0,Normal,0
311.53,376.22,395.14,200.0,8.0,223.42,126.35,0,Normal,0
320.82,383.13,409.01,152.0,6.0,235.67,135.25,0,Normal,0
326.24,385.02,393.2,165.0,7.0,236.93,135.04,0,Normal,0
300.0,358.51,382.59,199.0,8.0,223.99,123.85,0,Normal,0
308.23,362.23,378.75,200.0,6.0,222.01,128.76,0,Normal,0
306.13,372.39,383.89,200.0,8.0,222.21,129.58,0,Normal,0
303.45,361.27,370.62,196.0,8.0,212.99,128.38,0,Normal,0
339.73,413.03,428.08,161.0,7.0,250.25,131.99,2,Severe_Crisis,1
319.32,371.66,392.27,191.0,8.0,229.72,132.9,0,Normal,0
300.0,368.31,383.67,200.0,8.0,217.73,124.93,0,Normal,0
327.02,404.41,427.96,161.0,7.0,237.9,133.23,2,Moderate_Stress,1
345.08,396.91,405.65,163.0,7.0,239.25,144.18,3,Moderate_Stress,1
328.74,401.79,417.73,165.0,5.0,232.61,135.21,3,Moderate_Stress,1
300.0,377.28,387.01,200.0,8.0,221.61,126.38,0,Normal,0
305.99,359.79,377.61,200.0,8.0,215.1,120.07,0,Normal,0
332.25,418.82,439.25,156.0,6.0,244.62,140.7,3,Moderate_Stress,1
302.63,372.22,386.12,196.0,8.0,220.76,123.39,0,Normal,0
319.91,380.84,383.82,166.0,6.0,222.79,127.87,0,Normal,0
324.87,393.04,410.04,167.0,6.0,246.3,131.85,0,Normal,0
300.0,370.58,388.77,199.0,8.0,229.62,131.12,0,Normal,0
312.36,379.97,397.99,200.0,8.0,225.22,131.98,0,Normal,0
300.0,370.39,392.57,195.0,8.0,224.65,126.38,0,Normal,0
300.0,355.79,366.44,200.0,8.0,220.26,126.32,0,Normal,0
309.46,377.57,396.98,200.0,8.0,233.65,127.19,0,Normal,0
300.0,350.86,372.83,200.0,8.0,212.36,125.32,0,Normal,0
337.74,407.28,414.39,156.0,7.0,249.21,136.42,2,Moderate_Stress,1
300.0,355.96,373.56,198.0,6.0,215.5,128.31,0,Normal,0
306.65,365.29,378.77,200.0,7.0,216.15,130.24,0,Normal,0
315.21,394.85,410.45,163.0,7.0,238.51,133.06,0,Normal,0
334.87,416.01,433.75,159.0,6.0,252.68,135.56,1,Severe_Crisis,1
300.0,371.09,384.66,196.0,7.0,236.47,129.15,0,Normal,0
330.7,389.38,402.0,164.0,5.0,230.07,133.08,0,Moderate_Stress,0
313.4,377.25,393.42,200.0,7.0,231.86,126.3,0,Normal,0
300.0,377.13,387.69,195.0,6.0,223.6,126.32,0,Normal,0
320.18,389.63,400.2,167.0,6.0,237.97,132.06,0,Normal,0
316.24,406.86,426.26,166.0,6.0,231.95,135.66,0,Moderate_Stress,0
304.25,373.82,384.07,200.0,7.0,219.02,127.28,0,Normal,0
314.3,383.36,402.69,160.0,6.0,226.81,126.67,0,Normal,0
307.47,370.5,388.81,200.0,8.0,225.21,128.15,0,Normal,0
314.95,383.53,390.9,156.0,8.0,227.67,130.75,0,Normal,0
323.18,390.13,402.75,160.0,5.0,238.13,132.86,0,Normal,0
337.04,414.68,436.65,149.0,8.0,251.33,139.6,1,Severe_Crisis,1
300.0,374.57,385.66,200.0,8.0,227.75,130.33,0,Normal,0
345.25,409.17,422.85,152.0,6.0,254.0,135.73,4,Severe_Crisis,1
300.0,351.69,370.0,200.0,8.0,218.82,123.13,0,Normal,0
310.97,359.26,379.17,198.0,8.0,215.5,124.26,0,Normal,0
322.07,395.47,410.21,159.0,7.0,243.29,134.77,0,Normal,0
317.46,374.05,387.06,197.0,8.0,225.04,134.18,0,Normal,0
303.91,347.97,371.08,199.0,8.0,220.77,124.25,0,Normal,0
310.13,380.53,405.23,167.0,7.0,236.73,128.66,0,Normal,0
305.85,396.66,417.56,148.0,6.0,235.94,134.76,0,Normal,0
304.41,370.01,386.44,200.0,7.0,216.55,128.99,0,Normal,0
325.99,403.28,415.24,162.0,6.0,235.41,135.35,0,Moderate_Stress,0
318.61,387.21,399.06,154.0,8.0,239.51,127.75,0,Normal,0
302.86,367.3,385.91,195.0,6.0,221.93,129.01,0,Normal,0
326.74,404.95,423.04,168.0,5.0,241.13,131.53,2,Moderate_Stress,1
317.86,382.64,405.64,155.0,7.0,234.94,127.35,0,Normal,0
325.44,396.93,416.19,154.0,5.0,241.15,132.28,0,Normal,0
322.69,394.32,402.8,166.0,6.0,237.59,130.89,0,Normal,0
300.82,359.26,380.52,200.0,8.0,218.51,125.2,0,Normal,0
304.85,380.49,391.5,155.0,5.0,226.23,124.27,0,Normal,0
324.46,391.38,405.46,161.0,5.0,239.81,135.5,0,Normal,0
322.41,383.21,400.46,155.0,7.0,235.02,134.88,0,Normal,0
312.94,385.24,411.22,166.0,5.0,229.79,124.44,0,Normal,0
315.01,373.28,404.83,200.0,6.0,232.71,132.33,0,Normal,0
332.41,402.56,421.59,163.0,6.0,240.38,132.5,2,Moderate_Stress,1
304.38,369.94,385.03,200.0,8.0,219.75,130.03,0,Normal,0
321.46,400.53,419.21,169.0,6.0,234.33,132.88,0,Moderate_Stress,0
310.22,381.5,401.93,160.0,6.0,224.32,129.58,0,Normal,0
309.98,376.23,390.63,194.0,8.0,225.97,128.38,0,Normal,0
329.73,407.37,432.35,162.0,5.0,248.34,138.65,4,Moderate_Stress,1
325.63,408.38,425.53,170.0,7.0,237.68,130.78,2,Moderate_Stress,1
325.45,399.85,418.34,155.0,7.0,239.63,135.44,0,Normal,0
332.83,402.86,422.19,158.0,6.0,237.93,138.33,3,Moderate_Stress,1
313.57,367.48,385.59,200.0,8.0,223.68,130.74,0,Normal,0
323.48,381.35,401.54,160.0,5.0,224.27,138.44,0,Normal,0
308.6,371.83,384.75,195.0,8.0,224.41,126.7,0,Normal,0
318.11,379.73,392.94,200.0,8.0,229.21,133.37,0,Normal,0
311.3,376.12,386.62,200.0,8.0,230.25,128.8,0,Normal,0
314.7,382.48,400.67,161.0,6.0,231.57,133.97,0,Normal,0
322.18,395.8,415.7,155.0,6.0,230.62,132.7,0,Normal,0
300.98,365.42,383.71,192.0,8.0,227.16,125.34,0,Normal,0
344.64,421.2,445.57,101.0,3.0,251.05,142.55,1,Severe_Crisis,1
300.0,365.64,381.62,200.0,7.0,222.62,124.9,0,Normal,0
300.0,345.25,364.59,200.0,8.0,214.44,120.1,0,Normal,0
330.62,390.82,401.36,160.0,6.0,233.97,131.94,0,Moderate_Stress,0
325.12,392.45,406.52,157.0,7.0,237.12,134.68,0,Normal,0
322.61,378.91,398.38,195.0,8.0,233.17,135.27,0,Normal,0
322.68,397.08,417.32,164.0,6.0,228.43,133.25,0,Normal,0
313.07,395.33,409.86,165.0,7.0,231.94,135.26,0,Normal,0
300.0,377.19,392.83,192.0,7.0,224.39,123.46,0,Normal,0
314.39,379.41,387.82,200.0,8.0,230.6,128.58,0,Normal,0
303.09,383.46,397.68,163.0,7.0,234.45,127.76,0,Normal,0
327.88,398.54,419.0,167.0,7.0,234.86,133.5,0,Normal,0
311.04,374.33,393.21,193.0,7.0,224.38,129.15,0,Normal,0
300.87,359.86,378.37,193.0,6.0,217.21,128.0,0,Normal,0
308.43,371.67,387.92,199.0,8.0,221.41,126.91,0,Normal,0
319.44,383.48,399.51,163.0,4.0,230.02,131.49,0,Normal,0
304.79,372.22,384.92,200.0,8.0,228.74,127.62,0,Normal,0
300.92,367.66,387.15,200.0,8.0,217.25,123.94,0,Normal,0
316.91,384.47,402.58,159.0,7.0,233.74,130.45,0,Normal,0
316.92,388.83,407.29,155.0,8.0,224.62,130.8,0,Normal,0
305.65,383.4,396.77,166.0,7.0,226.16,128.5,0,Normal,0
306.18,381.61,386.84,155.0,6.0,226.8,129.0,0,Normal,0
316.73,369.39,390.88,200.0,8.0,234.66,129.49,0,Normal,0
300.0,339.46,353.07,199.0,8.0,211.09,122.46,0,Normal,0
300.0,374.34,386.03,200.0,6.0,213.66,131.06,0,Normal,0
302.47,354.18,373.64,200.0,7.0,208.11,122.09,0,Normal,0
310.05,374.31,388.35,199.0,7.0,226.84,126.59,0,Normal,0
317.91,373.9,395.2,197.0,6.0,231.17,138.23,0,Normal,0
335.38,387.67,406.75,158.0,6.0,238.29,130.77,0,Moderate_Stress,0
326.11,400.45,419.86,162.0,6.0,239.87,129.71,0,Moderate_Stress,0
310.85,385.07,394.24,160.0,5.0,236.41,132.15,0,Normal,0
312.96,374.14,396.2,197.0,8.0,224.5,122.94,0,Normal,0
300.0,339.09,356.4,199.0,8.0,216.81,123.02,0,Normal,0
312.97,374.46,388.61,200.0,8.0,219.14,135.64,0,Normal,0
308.92,379.18,395.89,189.0,8.0,223.62,124.43,0,Normal,0
318.09,371.02,378.13,200.0,8.0,218.09,123.68,0,Normal,0
300.84,367.8,385.84,195.0,8.0,221.17,122.22,0,Normal,0
321.04,389.04,399.9,154.0,7.0,233.79,134.57,0,Normal,0
336.24,412.47,421.71,152.0,6.0,245.83,139.87,4,Moderate_Stress,1
311.62,379.56,387.95,191.0,8.0,229.13,127.97,0,Normal,0
319.28,377.44,399.0,193.0,8.0,224.97,132.5,0,Normal,0
323.6,404.11,416.96,156.0,6.0,238.86,137.93,0,Moderate_Stress,0
307.23,371.73,395.4,200.0,8.0,217.72,133.43,0,Normal,0
316.61,383.83,397.15,157.0,6.0,238.13,129.95,0,Normal,0
313.44,371.12,378.59,200.0,8.0,224.71,122.04,0,Normal,0
314.72,377.49,387.91,200.0,7.0,226.27,127.31,0,Normal,0
301.65,358.06,380.23,200.0,8.0,227.24,124.59,0,Normal,0
313.62,378.93,394.15,200.0,6.0,222.79,128.97,0,Normal,0
320.72,405.95,419.2,154.0,6.0,234.25,132.95,0,Moderate_Stress,0
